None,ticker,dimension,calendardate,datekey,reportperiod,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,marketcap,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps,workingcapital,cash_flow_yield,dividend_yield,book_price,earings_yield,fcfev,fcfmargin,earings_yield_z
0,ZTS,ART,2023-06-30,2023-08-08,2023-06-30,2023-08-08,-895000000,13749000000,14025500000.0,6183000000.0,7566000000.0,0.586,10.013,-710000000.0,1717000000,1717000000,2455000000.0,2209000000.0,3.495,1.974,6745000000,2000000.0,6743000000.0,6745000000,0,475000000.0,0,0.008,1.45,3068000000.0,3543000000.0,0.431,3543000000.0,3068000000.0,2832000000.0,4.76,4.75,4.76,4625000000,4546750000.0,4625000000,92165990116.0,30.0,26.014,1289000000.0,2.791,1.0,5767000000.0,0.701,3966000000,236000000.0,13042000000,12157000000.0,2701000000,0,0.0,0.0,9128000000,1769000000.0,7359000000.0,87137990116.0,-935000000.0,-133000000.0,-1389000000.0,-12000000.0,-651000000.0,-2045000000.0,-858000000.0,-18000000.0,1999000000.0,-31000000.0,2213000000.0,2213000000.0,2213000000.0,0.0,-4000000.0,0.269,2703000000.0,3064000000.0,464000000,0.305,18.841,39.376,39.769,3235000000,0.0,189.3,10.598,10.635,1322000000,9543000000.0,8222000000.0,8222000000.0,570000000.0,0.158,0.487,0.252,0.373,57000000.0,2076000000.0,1.0,460316905,461900000,462900000.0,17.8,9783000000,192000000,619000000.0,486000000,21.18,4414000000.0,0.022940625522104508,0.007659799260433174,0.05307673488731033,0.025145272054939247,0.01398563611563947,0.014743792921288959,-0.23518136110635976
2,ZION,ART,2023-06-30,2023-08-04,2023-06-30,2023-08-07,-2930000000,87230000000,88455500000.0,,,0.035,35.77,-141000000.0,3013000000,3013000000,0.0,880000000.0,,15.511,6051000000,,,6051000000,0,137000000.0,74323000000,0.043,1.64,1145000000.0,1282000000.0,0.412,1282000000.0,1145000000.0,1145000000.0,5.68,5.67,5.68,5283000000,5014000000.0,5283000000,8655663443.0,8.0,6.752,1344000000.0,9.1,1.0,3115000000.0,1.0,1062000000,0.0,89206000000,93054000000.0,0,78875000000,,,81947000000,,,5617663443.0,142000000.0,318000000.0,-148000000.0,4367000000.0,-277000000.0,-1231000000.0,-112000000.0,-287000000.0,1485000000.0,0.0,880000000.0,852000000.0,852000000.0,0.0,0.0,0.274,1970000000.0,1145000000.0,0,0.289,1.063,6.594,6.676,1414000000,28000000.0,37.92,1.803,1.798,0,6051000000.0,3115000000.0,3115000000.0,0.0,0.01,0.17,0.012,0.368,32000000.0,1759000000.0,1.0,148145133,147692000,147696000.0,21.091,86168000000,0,265000000.0,0,583.43,,0.2643447787621406,0.04324894514767932,0.9404265765659183,0.14978902953586495,0.15527405944681438,0.23997890295358648,1.561803074410551
4,ZBRA,ART,2023-06-30,2023-08-01,2023-07-01,2023-08-01,-60000000,7456000000,7476750000.0,1753000000.0,5703000000.0,0.736,58.28,-78000000.0,68000000,68000000,2939000000.0,650000000.0,0.99,1.492,2365000000,166000000.0,2199000000.0,2365000000,774000000,189000000.0,0,0.0,0.0,860000000.0,1049000000.0,0.191,1049000000.0,860000000.0,803000000.0,12.57,12.49,12.57,2992000000,2818250000.0,2992000000,15376474996.0,18.0,14.658,146000000.0,2.844,1.0,2561000000.0,0.466,4473000000,57000000.0,3510000000,3089500000.0,864000000,0,0.0,0.0,4464000000,1770000000.0,2694000000.0,13079474996.0,-30000000.0,-6000000.0,-205000000.0,37000000.0,0.0,-168000000.0,-91000000.0,-7000000.0,224000000.0,5000000.0,650000000.0,650000000.0,650000000.0,0.0,0.0,0.118,1680000000.0,881000000.0,562000000,0.0,4.371,20.122,20.268,474000000,0.0,254.77,2.378,2.378,663000000,4330000000.0,5500000000.0,5500000000.0,561000000.0,0.087,0.231,0.278,0.156,66000000.0,958000000.0,1.0,51338364,51338364,,107.132,2983000000,461000000,153000000.0,91000000,58.105,-17000000.0,0.017126069667819564,0.0,0.22875535913444703,0.04933861914668132,0.009495024057072905,0.011163009773521214,0.11361322793330261
6,ZBH,ART,2023-06-30,2023-08-01,2023-06-30,2023-08-01,-177800000,21294300000,21234275000.0,4387900000.0,16906400000.0,0.339,59.307,-633900000.0,319800000,319800000,2034800000.0,505600000.0,1.964,0.721,5709400000,520000000.0,5189400000.0,5709400000,0,929200000.0,0,0.007,0.96,850100000.0,1779300000.0,0.247,1779300000.0,850100000.0,665400000.0,2.4,2.41,2.4,12371500000,12196800000.0,12371500000,34257995112.0,40.0,19.254,716700000.0,3.436,1.0,5160700000.0,0.717,13771400000,184700000.0,10678800000,10473800000.0,2275800000,0,0.0,0.0,8915800000,2233700000.0,6682100000.0,28868395112.0,-66600000.0,-32900000.0,-314100000.0,-287500000.0,-201300000.0,-823400000.0,-590200000.0,74500000.0,1350600000.0,-3600000.0,505600000.0,505600000.0,505600000.0,0.0,0.0,0.07,4286600000.0,874100000.0,354600000,0.4,2.333,57.097,57.562,1975000000,0.0,138.15,4.012,4.005,1367300000,9902300000.0,7195500000.0,7195500000.0,438200000.0,0.024,0.041,0.081,0.118,113100000.0,2823700000.0,1.0,208964134,208600000,209900000.0,34.494,7522900000,0,159800000.0,932200000,36.064,2154200000.0,0.046784727545819936,0.006948968512486427,0.4285482428795434,0.017372421281216067,0.020920663852536776,0.02487151646760767,-0.34724226284958276
8,YUM,ART,2023-06-30,2023-08-07,2023-06-30,2023-08-07,-293000000,5848000000,5805500000.0,1515000000.0,4333000000.0,1.204,-30.106,-304000000.0,437000000,437000000,3569000000.0,1420000000.0,1.019,-1.693,11568000000,374000000.0,11194000000.0,11568000000,0,142000000.0,0,0.017,2.35,2239000000.0,2381000000.0,0.341,2381000000.0,2239000000.0,1723000000.0,5.02,4.94,5.02,-8436000000,-8657000000.0,-8436000000,48990346176.0,22.0,20.576,1279000000.0,4.564,1.0,3422000000.0,0.489,1010000000,516000000.0,14482000000,14624250000.0,0,0,0.0,0.0,14284000000,1487000000.0,12797000000.0,37859346176.0,31000000.0,184000000.0,-693000000.0,-51000000.0,-661000000.0,-1435000000.0,-112000000.0,0.0,1583000000.0,-5000000.0,1420000000.0,1420000000.0,1420000000.0,0.0,0.0,0.203,1202000000.0,2220000000.0,1063000000,0.468,-4.488,26.662,26.914,1162000000,0.0,135.11,5.415,5.415,656000000,-8156000000.0,6991000000.0,6991000000.0,0.0,0.245,-0.164,0.153,0.32,86000000.0,1206000000.0,1.0,280211281,280211281,,24.949,4838000000,821000000,303000000.0,50000000,17.266,28000000.0,0.04181266080615792,0.017393235141736362,-0.22282476725252573,0.03715491081341129,0.02610718437067449,0.03377988305824883,-0.062038843893193536
10,XYL,ART,2023-06-30,2023-08-04,2023-06-30,2023-08-04,-226000000,16097000000,10023750000.0,3735000000.0,12362000000.0,0.604,48.17,-219000000.0,708000000,708000000,3762000000.0,352000000.0,1.637,0.625,2507000000,240000000.0,2267000000.0,2507000000,0,270000000.0,0,0.012,1.26,492000000.0,762000000.0,0.126,762000000.0,492000000.0,446000000.0,1.9,1.88,1.9,9899000000,5046500000.0,9899000000,27247350554.0,55.0,35.758,354000000.0,1.723,1.0,2294000000.0,0.379,10296000000,46000000.0,5318000000,4147000000.0,1143000000,0,0.0,0.0,6187000000,2282000000.0,3905000000.0,25448350554.0,-405000000.0,-385000000.0,36000000.0,-179000000.0,-246000000.0,-397000000.0,-596000000.0,-56000000.0,573000000.0,15000000.0,352000000.0,352000000.0,352000000.0,0.0,0.0,0.058,1678000000.0,616000000.0,968000000,0.663,2.571,72.296,55.616,1144000000,0.0,105.67,4.202,3.586,1659000000,2344000000.0,6056000000.0,6056000000.0,212000000.0,0.035,0.07,0.119,0.081,46000000.0,1409000000.0,1.0,240828528,205500000,206700000.0,29.47,5801000000,0,94000000.0,738000000,28.229,1453000000.0,0.02251619407647366,0.01192391407211129,0.38898395316407114,0.017980505346834482,0.012992088874785356,0.016305479322418853,-0.33847553739548725
12,XRAY,ART,2023-06-30,2023-08-07,2023-06-30,2023-08-09,-620000000,7650000000,7622000000.0,1920000000.0,5730000000.0,0.516,17.489,-136000000.0,295000000,295000000,1842000000.0,-1030000000.0,1.511,1.065,2246000000,261000000.0,1985000000.0,2246000000,0,331000000.0,0,0.013,0.53,-1137000000.0,-806000000.0,-0.205,-806000000.0,-1137000000.0,-1210000000.0,-4.76,-4.77,-4.76,3706000000,3692750000.0,3706000000,10311665077.0,-9.0,-12.794,198000000.0,0.934,1.0,2094000000.0,0.532,4511000000,73000000.0,3819000000,3658750000.0,657000000,0,0.0,0.0,3948000000,1271000000.0,2677000000.0,8360665077.0,-67000000.0,0.0,-150000000.0,41000000.0,-110000000.0,-237000000.0,-122000000.0,12000000.0,334000000.0,-42000000.0,-1025000000.0,-1025000000.0,-1025000000.0,0.0,-5000000.0,-0.26,3169000000.0,-1075000000.0,265000000,-0.111,2.256,-8.157,-8.296,963000000,0.0,39.49,2.124,2.126,670000000,463000000.0,3936000000.0,3936000000.0,179000000.0,-0.134,-0.278,-0.311,-0.289,57000000.0,1635000000.0,1.0,211716006,211900000,213100000.0,18.575,3139000000,0,-185000000.0,278000000,14.814,649000000.0,0.03994897498272314,0.013421119270701443,0.44326617151488606,-0.12053684477082804,0.019201554600685757,0.02365155735629273,-2.335475044158411
14,XOM,ART,2023-06-30,2023-08-01,2023-06-30,2023-08-01,-12657000000,363248000000,367959500000.0,91760000000.0,271488000000.0,1.025,49.722,-21430000000.0,29557000000,29557000000,272818000000.0,53249000000.0,1.484,0.785,41496000000,3929000000.0,37567000000.0,41496000000,0,19192000000.0,0,0.034,3.61,72018000000.0,91210000000.0,0.242,91210000000.0,72018000000.0,71194000000.0,12.5,12.5,12.5,199046000000,194720000000.0,199046000000,438759414950.0,6.0,4.81,46340000000.0,11.576,1.0,104159000000.0,0.276,0,824000000.0,313372000000,311864000000.0,24249000000,47273000000,0.0,47273000000.0,156251000000,61815000000.0,94436000000.0,426820414950.0,10696000000.0,-3281000000.0,-17849000000.0,-6401000000.0,-14891000000.0,-40413000000.0,-17014000000.0,6156000000.0,67770000000.0,353000000.0,51720000000.0,51720000000.0,51720000000.0,0.0,1529000000.0,0.137,30612000000.0,73547000000.0,54404000000,0.289,2.144,8.253,8.53,206736000000,0.0,106.62,1.132,1.132,35915000000,444731000000.0,376977000000.0,376977000000.0,840000000.0,0.141,0.266,0.231,0.191,0.0,9995000000.0,1.0,4003192787,4003192787,,94.169,363248000000,0,19474000000.0,26942000000,90.74,29945000000.0,0.15877872197827964,0.03385856312136559,0.46634601586083296,0.11723879197148752,0.10561596725002653,0.10857250046895517,1.0925275049179095
16,XEL,ART,2023-06-30,2023-07-27,2023-06-30,2023-07-27,-82000000,61658000000,60941500000.0,4201000000.0,57457000000.0,0.25,30.697,-5197000000.0,275000000,275000000,10655000000.0,1734000000.0,0.803,2.645,26966000000,1886000000.0,25080000000.0,26966000000,0,2428000000.0,174000000,0.032,2.015,2342000000.0,4770000000.0,0.313,4770000000.0,2342000000.0,1582000000.0,3.17,3.15,3.17,16914000000,16697750000.0,16914000000,61365863490.0,26.0,12.865,-798000000.0,-1.448,1.0,4582000000.0,0.301,0,760000000.0,83118000000,81555750000.0,625000000,3769000000,233000000.0,3536000000.0,44744000000,5231000000.0,39513000000.0,34674863490.0,-60000000.0,0.0,246000000.0,1596000000.0,-1051000000.0,778000000.0,-5237000000.0,-34000000.0,4399000000.0,0.0,1734000000.0,1734000000.0,1734000000.0,0.0,0.0,0.114,2142000000.0,2440000000.0,1307000000,0.636,2.05,19.997,19.833,50807000000,0.0,62.87,2.276,2.274,1852000000,7371000000.0,15237000000.0,15237000000.0,0.0,0.028,0.104,0.029,0.154,18000000.0,0.0,1.0,551532742,551000000,552000000.0,27.653,61658000000,66000000,-152000000.0,5110000000,111.902,-1030000000.0,0.12686423412362222,0.032050262446317805,0.4877885101084215,0.05042150469222205,-0.013003972479423184,-0.02303165261651026,0.12922514873953084
18,WYNN,ART,2023-06-30,2023-08-09,2023-06-30,2023-08-09,7916000,13783686000,13175538000.0,4351764000.0,9431922000.0,0.373,-5.583,-415323000.0,3747797000,3747797000,2928813000.0,-112355000.0,3.233,-24.261,13753514000,41250000.0,13712264000.0,13753514000,0,683568000.0,498136000,0.002,0.25,741712000.0,1425280000.0,0.29,1425280000.0,741712000.0,19832000.0,0.04,-0.18,0.04,-630253000,-715419500.0,-630253000,21575951718.0,29.0,15.138,201595000.0,1.786,1.0,1985347000.0,0.404,444807000,721880000.0,21998549000,21290350250.0,70979000,288201000,288201000.0,0.0,15290850000,1346047000.0,13944803000.0,11570234718.0,1724061000.0,1700000000.0,-48323000.0,213546000.0,-28863000.0,108421000.0,1000090000.0,-286519000.0,616918000.0,-1368000.0,7035000.0,7035000.0,7035000.0,0.0,-119390000.0,0.001,1519279000.0,466068000.0,178486000,6.25,-18.358,1644.667,2538.75,8609376000,0.0,101.55,2.354,2.333,229794000,-2622773000.0,4914160000.0,4914160000.0,0.0,0.001,-0.01,0.035,0.151,72127000.0,950385000.0,1.0,113936334,112889000,113198000.0,43.531,13338879000,0,12797000.0,142266000,118.159,3005717000.0,0.05331940233159235,0.002461841457410143,-0.05447192864804249,0.00039389463318562285,0.009343504408744895,0.01758739537173806,-0.592021052747575
